serhis_hbdist,hislg_hbdist_toreflig,hisacid_hbdist,oxh1_hbdist_toreflig,oxh2_hbdist_toreflig,serhis_angleA,serhis_angleB,hislg_angleB_toreflig,hislg_angleA_toreflig,ser_chi,ser_chi_ref,serhis_dihedralB,hislg_dihedralA_toreflig,ser_sc_rmsd_toref,his_sc_rmsd_toref,acid_sc_rmsd_toref,serOG_unc,hisNE2_unc,hisND1_unc,acidOXY_unc,oxh1DON_unc,oxh2DON_unc,is_hbond_ser-his,is_hbond_his-lgref,is_hbond_oxh1-oxref,is_hbond_oxh2-oxref,is_hbond_his-asp,fape,lddt,rmsd,kabsch,prmsd,plddt,plddt_pde,oxh1_angleA_toreflig,oxh1_angleB_toreflig,oxh1_dihedralB_toreflig,oxh2_angleA_toreflig,oxh2_angleB_toreflig,oxh2_dihedralB_toreflig,hisacid_angleA,hisacid_angleB,hisacid_dihedralA,hisacid_dihedralB,pdb,ref,step,csv,i,label
3.184,2.59,2.873,2.815,2.41,109.119,81.509,104.57,135.575,-69.806,-63.828,-172.038,-162.946,0.262,1.469,0.343,0.96,0.68,0.88,0.39,0.08,1.01,True,True,True,True,True,0.8756049275398254,0.9794342517852784,0.4526709020137787,0.4422222971916199,0.8151745200157166,0.980573832988739,0.9537366032600404,110.86,100.273,132.951,125.005,135.269,14.377,101.858,121.7,-164.665,-143.731,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,0,super_af2_mu2
3.041,2.626,2.773,2.762,2.419,110.078,84.069,101.325,136.888,-67.891,-63.828,-169.633,-158.9,0.188,1.502,0.274,0.9,0.58,0.69,0.42,0.08,1.03,True,True,True,True,True,0.9992157816886902,0.97237366437912,0.5631285905838013,0.5518016815185547,0.802965521812439,0.9837390780448914,0.954758644104004,110.751,100.179,133.737,125.048,135.912,13.655,107.167,115.473,-162.094,-144.529,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,1,super_af2_mu2
3.143,2.68,2.904,2.755,2.404,110.926,88.125,104.032,136.527,-68.37,-63.828,-170.139,-163.35,0.091,1.474,0.263,0.92,0.67,0.85,0.4,0.08,0.99,True,True,True,True,True,0.79329913854599,0.9816325902938844,0.4239784777164459,0.4187894463539123,0.8018311262130737,0.981095552444458,0.9549744725227356,112.053,97.558,136.522,125.686,137.05,21.694,102.837,119.176,-163.935,-142.83,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,2,super_af2_mu2
3.063,2.619,2.864,2.778,2.469,112.049,87.645,104.008,137.919,-68.605,-63.828,-170.092,-167.552,0.12,1.478,0.171,0.84,0.61,0.74,0.42,0.08,0.98,True,True,True,True,True,0.9305634498596193,0.9749278426170348,0.5083508491516113,0.5053738355636597,0.8122285008430481,0.9832173585891724,0.9536876678466796,111.557,98.97,138.258,125.878,136.39,18.828,106.501,114.542,-164.412,-144.027,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,3,super_af2_mu2
3.122,2.687,2.834,2.792,2.385,115.354,87.02,103.633,135.775,-68.277,-63.828,-167.481,-162.052,0.129,1.481,0.198,0.83,0.59,0.71,0.43,0.08,0.99,True,True,True,True,True,0.9133773446083068,0.9727201461791992,0.4980636835098266,0.4937730133533478,0.8183039426803589,0.9826956391334534,0.9530566930770874,111.101,99.186,138.064,126.114,136.633,25.965,109.647,111.98,-164.675,-150.509,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,4,super_af2_mu2
3.177,2.626,2.815,2.797,2.412,110.277,81.958,103.964,134.006,-69.8,-63.828,-170.437,-162.281,0.182,1.486,0.256,0.88,0.59,0.72,0.43,0.08,0.99,True,True,True,True,True,0.8312103152275085,0.9778544306755066,0.4713570773601532,0.4630953073501587,0.806158185005188,0.981999933719635,0.9555661678314208,111.676,99.174,135.068,126.998,138.779,20.123,107.758,114.605,-162.999,-144.903,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,5,super_af2_mu2
3.134,2.613,2.851,2.804,2.402,110.102,87.826,104.493,137.559,-68.869,-63.828,-172.877,-167.939,0.076,1.47,0.194,0.93,0.66,0.8,0.42,0.08,1.0,True,True,True,True,True,0.9580299258232116,0.9686327576637268,0.5740360021591187,0.5671691298484802,0.8225240111351013,0.982069492340088,0.9526588320732116,112.593,96.67,136.188,127.315,138.794,19.258,105.529,118.756,-164.301,-146.553,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,6,super_af2_mu2
3.109,2.623,2.833,2.801,2.53,109.29,86.24,103.243,138.484,-68.716,-63.828,-172.644,-164.149,0.169,1.48,0.248,0.96,0.54,0.64,0.41,0.08,1.13,True,True,True,True,True,0.9939682483673096,0.972393274307251,0.5066714882850647,0.5022569894790649,0.8238714933395386,0.9792174100875854,0.9539090991020204,111.513,98.89,134.715,125.66,130.956,45.493,110.706,111.699,-164.355,-150.884,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,7,super_af2_mu2
3.117,2.634,2.864,2.78,2.393,109.309,86.652,103.695,137.471,-68.674,-63.828,-171.409,-165.16,0.128,1.477,0.258,0.9,0.65,0.82,0.42,0.08,0.97,True,True,True,True,True,0.8624730110168457,0.97732812166214,0.4676299095153808,0.459808200597763,0.8035492897033691,0.9817217588424684,0.9550867080688475,111.679,98.349,136.018,124.861,134.87,30.012,103.459,120.232,-164.153,-142.489,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,8,super_af2_mu2
3.082,2.627,2.835,2.743,2.423,108.13,86.889,103.928,137.327,-68.408,-63.828,-173.368,-165.806,0.134,1.477,0.287,0.97,0.66,0.81,0.43,0.08,1.02,True,True,True,True,True,0.9223787784576416,0.97429758310318,0.5144362449645996,0.5077702403068542,0.8049010038375854,0.9809913635253906,0.9547237157821656,111.626,98.359,135.593,126.698,137.373,12.946,103.988,118.446,-162.538,-143.113,inputs/apo_super_af2_bu2_model.pdb,inputs/super_af2_bu2.pdb,free,inputs/super_af2_bu2_apo.csv,9,super_af2_mu2
